StepCounter, Dynamics, ConfDynamics, NConDynamics,  Zeros,  Ones, ConfZeros, NConfZeros, ConfOnes, NConfOnes, RealRatioA, RealRatioB, Stress, ConfStress, NConStress, frameRate, NofClusters, MnClustersSize, MaxClustersSize, MinClustersSize, MnClustersDiam, MaxClustersDiam, MinClustersDiam, MnClustersBRat, MaxClustersBRat, MinClustersBRat, RatioA, RatioB, Noise, MaxStrengh, Distribution, Bias, N, Repetition, from, Walk1D
0,0,0,0,5625,0,5112,513,0,0,0,0.0912,0,0,0,91.64449,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,32,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003898636,5111,514,5111,0,1,513,0,0.0912,0.16728888,0.0921117,0.916423,100.39383,71,74.1971831,5111,2,1.843319399,52.3259,1,0.990434881,1,0.32087654,0,0.1,0,100,0,0,75,32,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5110,515,0,0,0,0.091555556,0,0,0,91.064995,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,33,100, 0.0++0.05=0.501(1)
100,0,0,0,5111,514,5108,3,2,512,0,0.091555556,0.16542222,0.0909002,0.90485436,100.48507,77,68.62337662,5109,2,1.833457668,52.3259,1,0.991082709,1,0.31336856,0,0.1,0,100,0,0,75,33,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5048,577,0,0,0,0.102577778,0,0,0,91.72831,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,34,100, 0.0++0.05=0.501(1)
100,0.001422222,0,0.013864818,5049,576,5045,4,3,573,0,0.102577778,0.18311112,0.10192155,0.8934142,100.55879,88,59.85227273,5049,2,1.871886554,52.3259,1,0.992590792,1,0.3479897,0,0.1,0,100,0,0,75,34,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5023,602,0,0,0,0.107022222,0,0,0,91.459946,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,35,100, 0.0++0.05=0.501(1)
100,5.33E-04,0,0.004983389,5025,600,5023,2,0,600,0,0.107022222,0.19271111,0.10770456,0.90199333,100.526215,88,59.43181818,5025,2,1.828865596,52.3259,1,0.992810945,1,0.36736318,0,0.1,0,100,0,0,75,35,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5075,550,0,0,0,0.097777778,0,0,0,90.676506,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,36,100, 0.0++0.05=0.501(1)
100,5.33E-04,0,0.005454545,5077,548,5074,3,1,547,0,0.097777778,0.17591111,0.09729064,0.9013636,96.61585,85,62,5077,2,1.78216546,52.3259,1,0.99213987,1,0.3318889,0,0.1,0,100,0,0,75,36,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5039,586,0,0,0,0.104177778,0,0,0,83.352005,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,37,100, 0.0++0.05=0.501(1)
100,5.33E-04,0,0.005119454,5042,583,5038,4,1,582,0,0.104177778,0.18657778,0.10379043,0.89846414,99.690704,82,63.85365854,5042,2,1.87294096,52.3259,1,0.992192413,1,0.35977787,0,0.1,0,100,0,0,75,37,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5084,541,0,0,0,0.096177778,0,0,0,90.3911,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,38,100, 0.0++0.05=0.501(1)
100,8.89E-04,1.97E-04,0.007393715,5081,544,5077,4,7,537,0,0.096177778,0.17146666,0.09505311,0.88955635,100.955765,78,67.65384615,5080,2,1.960764671,52.3259,1,0.991371391,1,0.3269685,0,0.1,0,100,0,0,75,38,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5050,575,0,0,0,0.102222222,0,0,0,91.10521,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,39,100, 0.0++0.05=0.501(1)
100,0.0016,3.96E-04,0.012173913,5054,571,5043,11,7,564,0,0.102222222,0.17911111,0.099356435,0.87956524,88.32588,92,57.36956522,5051,2,1.83593866,52.3259,1,0.992823203,1,0.3397347,0,0.1,0,100,0,0,75,39,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5080,545,0,0,0,0.096888889,0,0,0,80.595245,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,40,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001834862,5078,547,5076,2,4,543,0,0.096888889,0.17475556,0.096825786,0.90114677,90.5879,75,70.05333333,5076,2,1.859865983,52.3259,1,0.991118991,1,0.33392435,0,0.1,0,100,0,0,75,40,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5056,569,0,0,0,0.101155556,0,0,0,82.86355,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,41,100, 0.0++0.05=0.501(1)
100,1.78E-04,0,0.001757469,5057,568,5056,1,0,568,0,0.101155556,0.1832,0.10178501,0.90663445,90.56371,86,61.10465116,5057,2,1.803516862,52.3259,1,0.992481065,1,0.35337156,0,0.1,0,100,0,0,75,41,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5087,538,0,0,0,0.095644444,0,0,0,82.80745,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,42,100, 0.0++0.05=0.501(1)
100,0.001066667,0,0.011152417,5087,538,5085,2,2,536,0,0.095644444,0.17226666,0.09519363,0.9010223,86.79855,79,66.78481013,5087,2,1.883762364,52.3259,1,0.991484872,1,0.3273049,0,0.1,0,100,0,0,75,42,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5061,564,0,0,0,0.100266667,0,0,0,79.70465,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,43,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003546099,5059,566,5059,0,2,564,0,0.100266667,0.18044445,0.10042482,0.89849293,110.67126,72,72.75,5059,2,2.01472038,52.3259,1,0.990918275,1,0.34611583,0,0.1,0,100,0,0,75,43,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5029,596,0,0,0,0.105955556,0,0,0,98.784966,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,44,100, 0.0++0.05=0.501(1)
100,3.56E-04,0,0.003355705,5029,596,5027,2,2,594,0,0.105955556,0.19102222,0.106805526,0.9016359,100.52744,88,59.40909091,5029,2,1.774737823,52.3259,1,0.99277825,1,0.36448598,0,0.1,0,100,0,0,75,44,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5068,557,0,0,0,0.099022222,0,0,0,90.71664,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,45,100, 0.0++0.05=0.501(1)
100,5.33E-04,0,0.005385996,5070,555,5068,2,0,555,0,0.099022222,0.1792,0.0992502,0.90664274,100.66734,83,63.38554217,5070,2,1.861758541,52.3259,1,0.992093819,1,0.34378698,0,0.1,0,100,0,0,75,45,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5060,565,0,0,0,0.100444444,0,0,0,91.035324,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,46,100, 0.0++0.05=0.501(1)
100,5.33E-04,1.98E-04,0.003539823,5058,567,5057,1,3,564,0,0.100444444,0.18124445,0.10083992,0.90132743,100.24068,79,66.24050633,5057,2,1.787830228,52.3259,1,0.991704693,1,0.34467074,0,0.1,0,100,0,0,75,46,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5066,559,0,0,0,0.099377778,0,0,0,90.38615,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,47,100, 0.0++0.05=0.501(1)
100,0,0,0,5065,560,5064,1,2,558,0,0.099377778,0.18,0.09998026,0.90518785,100.94466,82,64.03658537,5065,2,1.786901938,52.3259,1,0.992015987,1,0.34531096,0,0.1,0,100,0,0,75,47,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5052,573,0,0,0,0.101866667,0,0,0,90.94748,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,48,100, 0.0++0.05=0.501(1)
100,0,0,0,5053,572,5051,2,1,571,0,0.101866667,0.18346667,0.10201406,0.9016143,99.407005,86,61.01162791,5053,2,1.753873193,52.3259,1,0.992433691,1,0.34929743,0,0.1,0,100,0,0,75,48,100, 0.0++0.05=0.501(1)
0,0,0,0,5625,0,5052,573,0,0,0,0.101866667,0,0,0,89.8781,1,5625,5625,5625,0,0,0,0,0,0,0,0.1,0,100,0,0,75,49,100, 0.0++0.05=0.501(1)
