StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
214	 0.41226667	 0.34375	 0.4247007	 2796	 2829	 416	 2380	 448	 2381	 0.57475555	 0.4952257	 0.5891882	 8.579087	 563	 9.552397868561279	 114	 2	 4.007080086382837	 26.172504	 1.0	 0.9932647632239767	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
215	 0.43164444	 0.35532406	 0.44549465	 2806	 2819	 423	 2383	 441	 2378	 0.5750222	 0.5026042	 0.58816427	 8.723212	 558	 9.584229390681003	 235	 2	 3.940084925902787	 34.058773	 1.0	 0.9945171874911127	 1.0	 0.85714287	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
216	 0.40853333	 0.3449074	 0.42007983	 2838	 2787	 415	 2423	 449	 2338	 0.5767111	 0.4975405	 0.5910786	 8.711894	 558	 9.623655913978494	 114	 2	 3.9705838802467537	 29.15476	 1.0	 0.9946621129803332	 1.0	 0.84615386	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
217	 0.41084445	 0.34953704	 0.4219702	 2811	 2814	 437	 2374	 427	 2387	 0.57582223	 0.4927662	 0.59089476	 8.782241	 499	 10.76753507014028	 143	 2	 4.237130036812746	 27.513634	 1.0	 0.9936005837453868	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
218	 0.41635555	 0.33449075	 0.43121192	 2803	 2822	 442	 2361	 422	 2400	 0.572	 0.4934896	 0.5862476	 8.755653	 541	 9.931608133086876	 183	 2	 3.951693949108864	 32.0	 1.0	 0.9951418762727057	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
219	 0.42595556	 0.35300925	 0.43919346	 2825	 2800	 451	 2374	 413	 2387	 0.5752889	 0.4981192	 0.58929324	 8.715612	 549	 9.825136612021858	 144	 2	 4.009742945269808	 29.832869	 1.0	 0.9965633010603691	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
220	 0.424	 0.375	 0.43289226	 2800	 2825	 443	 2357	 421	 2404	 0.57324445	 0.49074075	 0.5882168	 8.836613	 529	 10.190926275992439	 196	 2	 4.148588153500187	 33.24154	 1.0	 0.993895825456356	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
221	 0.41724443	 0.33564815	 0.43205208	 2773	 2852	 415	 2358	 449	 2403	 0.5760889	 0.49609375	 0.590606	 8.544289	 514	 10.455252918287938	 175	 2	 4.2283033387670255	 31.575306	 1.0	 0.9954332462312646	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
222	 0.41546667	 0.3425926	 0.42869145	 2808	 2817	 423	 2385	 441	 2376	 0.57431114	 0.49435765	 0.58882064	 8.573895	 516	 10.362403100775193	 106	 2	 4.31563459995181	 26.305893	 1.0	 0.9927013025496357	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
223	 0.4158222	 0.3564815	 0.42659104	 2803	 2822	 441	 2362	 423	 2399	 0.5763556	 0.48770255	 0.5924438	 8.708812	 556	 9.640287769784173	 134	 2	 4.010763538827141	 25.317978	 1.0	 0.9949849803241895	 1.0	 0.75	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
224	 0.40675557	 0.33333334	 0.42007983	 2779	 2846	 417	 2362	 447	 2399	 0.5765333	 0.4981192	 0.5907635	 8.633305	 581	 9.222030981067126	 195	 2	 3.8420036372547512	 31.257	 1.0	 0.9938769679061312	 1.0	 0.85714287	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
225	 0.40124443	 0.3576389	 0.40915775	 2824	 2801	 426	 2398	 438	 2363	 0.5744	 0.489294	 0.5898446	 8.76772	 530	 10.139622641509433	 223	 2	 4.047551149467252	 38.948685	 1.0	 0.994932895898819	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
226	 0.4064	 0.3148148	 0.42302036	 2808	 2817	 428	 2380	 436	 2381	 0.5761778	 0.4986979	 0.5902384	 8.550623	 536	 10.005597014925373	 157	 2	 4.127757825290979	 34.88553	 1.0	 0.9951090097649774	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
227	 0.4272	 0.33680555	 0.4436043	 2803	 2822	 427	 2376	 437	 2385	 0.5748444	 0.49551505	 0.58924073	 8.69134	 546	 9.844322344322345	 129	 2	 4.129202234002697	 30.149628	 1.0	 0.9941293738045536	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
228	 0.42417777	 0.3125	 0.44444445	 2827	 2798	 429	 2398	 435	 2363	 0.57262224	 0.4887153	 0.5878492	 8.813107	 524	 10.284351145038167	 126	 2	 4.074576492982966	 28.42534	 1.0	 0.993011610198567	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
229	 0.43217778	 0.3622685	 0.4448645	 2826	 2799	 424	 2402	 440	 2359	 0.5714667	 0.4929109	 0.58572257	 8.57625	 544	 9.863970588235293	 167	 2	 3.9530659484512665	 33.0	 1.0	 0.9942442853661144	 1.0	 0.85714287	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
230	 0.41742224	 0.33217594	 0.43289226	 2796	 2829	 409	 2387	 455	 2374	 0.5746667	 0.50274885	 0.5877179	 8.716844	 543	 9.915285451197054	 135	 2	 4.216629101646101	 24.186773	 1.0	 0.9935528453761922	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
231	 0.41884443	 0.30439815	 0.43961352	 2834	 2791	 432	 2402	 432	 2359	 0.5735111	 0.49377894	 0.58798045	 8.847253	 552	 9.746376811594203	 126	 2	 3.8654248895852463	 29.410883	 1.0	 0.9942598335336947	 1.0	 0.8333333	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
232	 0.42168888	 0.3425926	 0.43604285	 2832	 2793	 434	 2398	 430	 2363	 0.57715553	 0.4920428	 0.59260136	 8.598107	 520	 10.38076923076923	 189	 2	 4.2375202270654535	 39.40812	 1.0	 0.9937992140650749	 1.0	 0.75	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
233	 0.40142223	 0.3402778	 0.41251838	 2828	 2797	 458	 2370	 406	 2391	 0.5776889	 0.4934896	 0.59296894	 8.735	 525	 10.238095238095237	 140	 2	 4.271672041302636	 27.856777	 1.0	 0.9939601685887292	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
234	 0.41084445	 0.3113426	 0.4289015	 2843	 2782	 449	 2394	 415	 2367	 0.5768	 0.4916088	 0.59226	 8.436896	 487	 11.09034907597536	 142	 2	 4.504054699100753	 36.05551	 1.0	 0.9948236985128274	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
235	 0.4136889	 0.32291666	 0.43016174	 2808	 2817	 456	 2352	 408	 2409	 0.57404447	 0.4956597	 0.5882693	 8.322029	 547	 9.727605118829981	 128	 2	 3.989712126730129	 22.472204	 1.0	 0.9922558302417316	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
236	 0.4113778	 0.3298611	 0.42617097	 2806	 2819	 449	 2357	 415	 2404	 0.5759111	 0.48538774	 0.5923388	 8.264908	 515	 10.464077669902913	 160	 2	 4.118776742231499	 27.730848	 1.0	 0.9944554202764937	 1.0	 0.78571427	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
237	 0.40337777	 0.3125	 0.41986978	 2829	 2796	 431	 2398	 433	 2363	 0.5799111	 0.4929109	 0.5956994	 8.281779	 555	 9.673873873873873	 152	 2	 4.168396751300708	 33.37664	 1.0	 0.9941416592211336	 1.0	 0.8235294	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
238	 0.3992889	 0.32060185	 0.4135686	 2799	 2826	 432	 2367	 432	 2394	 0.5769778	 0.49262154	 0.5922863	 8.30321	 538	 9.979553903345725	 140	 2	 4.154040342591509	 28.284271	 1.0	 0.9947586928158445	 1.0	 0.7777778	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
239	 0.4200889	 0.35532406	 0.43184206	 2798	 2827	 441	 2357	 423	 2404	 0.57493335	 0.49667245	 0.5891357	 8.337686	 539	 9.912801484230055	 140	 2	 4.017868175577365	 33.24154	 1.0	 0.9947867850204567	 1.0	 0.85714287	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
240	 0.4112	 0.30092594	 0.43121192	 2789	 2836	 427	 2362	 437	 2399	 0.57457775	 0.4971065	 0.5886368	 8.488987	 582	 9.216494845360824	 168	 2	 3.9214824235316406	 42.059483	 1.0	 0.9925765623546547	 1.0	 0.8	 0.45	 0.85	 2.0	 1000.0	 0	 0.0	 75
